Navn;Stasjon;Tid(norsk normaltid);Snødybde
Folgefonna Skisenter;SN49085;05.04.2017;203
Folgefonna Skisenter;SN49085;06.04.2017;207
Folgefonna Skisenter;SN49085;07.04.2017;211
Folgefonna Skisenter;SN49085;08.04.2017;208
Folgefonna Skisenter;SN49085;09.04.2017;212
Folgefonna Skisenter;SN49085;10.04.2017;217
Folgefonna Skisenter;SN49085;11.04.2017;229
Folgefonna Skisenter;SN49085;12.04.2017;234
Folgefonna Skisenter;SN49085;13.04.2017;242
Folgefonna Skisenter;SN49085;14.04.2017;242
Folgefonna Skisenter;SN49085;15.04.2017;232
Folgefonna Skisenter;SN49085;16.04.2017;234
Folgefonna Skisenter;SN49085;17.04.2017;237
Folgefonna Skisenter;SN49085;18.04.2017;235
Folgefonna Skisenter;SN49085;19.04.2017;238
Folgefonna Skisenter;SN49085;20.04.2017;233
Folgefonna Skisenter;SN49085;21.04.2017;232
Folgefonna Skisenter;SN49085;22.04.2017;239
Folgefonna Skisenter;SN49085;23.04.2017;238
Folgefonna Skisenter;SN49085;24.04.2017;260
Folgefonna Skisenter;SN49085;25.04.2017;268
Folgefonna Skisenter;SN49085;26.04.2017;263
Folgefonna Skisenter;SN49085;27.04.2017;267
Folgefonna Skisenter;SN49085;28.04.2017;399
Folgefonna Skisenter;SN49085;29.04.2017;256
Folgefonna Skisenter;SN49085;30.04.2017;254
Folgefonna Skisenter;SN49085;01.05.2017;252
Folgefonna Skisenter;SN49085;02.05.2017;250
Folgefonna Skisenter;SN49085;03.05.2017;248
Folgefonna Skisenter;SN49085;04.05.2017;243
Folgefonna Skisenter;SN49085;05.05.2017;239
Folgefonna Skisenter;SN49085;06.05.2017;234
Folgefonna Skisenter;SN49085;07.05.2017;228
Folgefonna Skisenter;SN49085;08.05.2017;223
Folgefonna Skisenter;SN49085;09.05.2017;223
Folgefonna Skisenter;SN49085;10.05.2017;228
Folgefonna Skisenter;SN49085;11.05.2017;230
Folgefonna Skisenter;SN49085;12.05.2017;225
Folgefonna Skisenter;SN49085;13.05.2017;222
Folgefonna Skisenter;SN49085;14.05.2017;214
Folgefonna Skisenter;SN49085;15.05.2017;209
Folgefonna Skisenter;SN49085;16.05.2017;201
Folgefonna Skisenter;SN49085;17.05.2017;180
Folgefonna Skisenter;SN49085;18.05.2017;166
Folgefonna Skisenter;SN49085;19.05.2017;159
Folgefonna Skisenter;SN49085;20.05.2017;144
Folgefonna Skisenter;SN49085;21.05.2017;127
Folgefonna Skisenter;SN49085;22.05.2017;59
Folgefonna Skisenter;SN49085;23.05.2017;58
Folgefonna Skisenter;SN49085;24.05.2017;57
Folgefonna Skisenter;SN49085;25.05.2017;54
Folgefonna Skisenter;SN49085;26.05.2017;46
Folgefonna Skisenter;SN49085;27.05.2017;30
Folgefonna Skisenter;SN49085;28.05.2017;6
Folgefonna Skisenter;SN49085;29.05.2017;0
Folgefonna Skisenter;SN49085;30.05.2017;0
Folgefonna Skisenter;SN49085;31.05.2017;0
Folgefonna Skisenter;SN49085;01.06.2017;0
Folgefonna Skisenter;SN49085;02.06.2017;0
Folgefonna Skisenter;SN49085;03.06.2017;0
Folgefonna Skisenter;SN49085;04.06.2017;0
Folgefonna Skisenter;SN49085;05.06.2017;0
Folgefonna Skisenter;SN49085;06.06.2017;0
Folgefonna Skisenter;SN49085;07.06.2017;0
Folgefonna Skisenter;SN49085;08.06.2017;0
Folgefonna Skisenter;SN49085;09.06.2017;0
Folgefonna Skisenter;SN49085;10.06.2017;0
Folgefonna Skisenter;SN49085;11.06.2017;0
Folgefonna Skisenter;SN49085;12.06.2017;0
Folgefonna Skisenter;SN49085;13.06.2017;0
Folgefonna Skisenter;SN49085;14.06.2017;0
Folgefonna Skisenter;SN49085;15.06.2017;0
Folgefonna Skisenter;SN49085;16.06.2017;0
Folgefonna Skisenter;SN49085;03.09.2017;0
Folgefonna Skisenter;SN49085;20.09.2017;0
Folgefonna Skisenter;SN49085;21.09.2017;0
Folgefonna Skisenter;SN49085;22.09.2017;0
Folgefonna Skisenter;SN49085;23.09.2017;0
Folgefonna Skisenter;SN49085;24.09.2017;0
Folgefonna Skisenter;SN49085;25.09.2017;0
Folgefonna Skisenter;SN49085;26.09.2017;0
Folgefonna Skisenter;SN49085;27.09.2017;0
Folgefonna Skisenter;SN49085;28.09.2017;0
Folgefonna Skisenter;SN49085;29.09.2017;0
Folgefonna Skisenter;SN49085;30.09.2017;0
Folgefonna Skisenter;SN49085;01.10.2017;0
Folgefonna Skisenter;SN49085;02.10.2017;0
Folgefonna Skisenter;SN49085;03.10.2017;0
Folgefonna Skisenter;SN49085;04.10.2017;8
Folgefonna Skisenter;SN49085;05.10.2017;32
Folgefonna Skisenter;SN49085;06.10.2017;25
Folgefonna Skisenter;SN49085;07.10.2017;26
Folgefonna Skisenter;SN49085;08.10.2017;23
Folgefonna Skisenter;SN49085;09.10.2017;22
Folgefonna Skisenter;SN49085;10.10.2017;22
Folgefonna Skisenter;SN49085;11.10.2017;22
Folgefonna Skisenter;SN49085;12.10.2017;16
Folgefonna Skisenter;SN49085;13.10.2017;18
Folgefonna Skisenter;SN49085;14.10.2017;0
Folgefonna Skisenter;SN49085;15.10.2017;0
Folgefonna Skisenter;SN49085;16.10.2017;0
Folgefonna Skisenter;SN49085;17.10.2017;0
Folgefonna Skisenter;SN49085;18.10.2017;0
Folgefonna Skisenter;SN49085;19.10.2017;0
Folgefonna Skisenter;SN49085;20.10.2017;0
Folgefonna Skisenter;SN49085;21.10.2017;0
Folgefonna Skisenter;SN49085;22.10.2017;0
Folgefonna Skisenter;SN49085;23.10.2017;0
Folgefonna Skisenter;SN49085;24.10.2017;0
Folgefonna Skisenter;SN49085;25.10.2017;0
Folgefonna Skisenter;SN49085;26.10.2017;0
Folgefonna Skisenter;SN49085;27.10.2017;0
Folgefonna Skisenter;SN49085;28.10.2017;5
Folgefonna Skisenter;SN49085;29.10.2017;17
Folgefonna Skisenter;SN49085;30.10.2017;16
Folgefonna Skisenter;SN49085;31.10.2017;23
Folgefonna Skisenter;SN49085;01.11.2017;14
Folgefonna Skisenter;SN49085;02.11.2017;5
Folgefonna Skisenter;SN49085;03.11.2017;4
Folgefonna Skisenter;SN49085;04.11.2017;16
Folgefonna Skisenter;SN49085;05.11.2017;21
Folgefonna Skisenter;SN49085;06.11.2017;24
Folgefonna Skisenter;SN49085;07.11.2017;16
Folgefonna Skisenter;SN49085;08.11.2017;15
Folgefonna Skisenter;SN49085;09.11.2017;47
Folgefonna Skisenter;SN49085;10.11.2017;77
Folgefonna Skisenter;SN49085;11.11.2017;158
Folgefonna Skisenter;SN49085;12.11.2017;157
Folgefonna Skisenter;SN49085;13.11.2017;148
Folgefonna Skisenter;SN49085;15.11.2017;147
Folgefonna Skisenter;SN49085;16.11.2017;140
Folgefonna Skisenter;SN49085;17.11.2017;123
Folgefonna Skisenter;SN49085;18.11.2017;136
Folgefonna Skisenter;SN49085;19.11.2017;163
Folgefonna Skisenter;SN49085;20.11.2017;158
Folgefonna Skisenter;SN49085;21.11.2017;154
Folgefonna Skisenter;SN49085;23.11.2017;62
Folgefonna Skisenter;SN49085;24.11.2017;96
Folgefonna Skisenter;SN49085;25.11.2017;117
Folgefonna Skisenter;SN49085;26.11.2017;154
Folgefonna Skisenter;SN49085;27.11.2017;152
Folgefonna Skisenter;SN49085;28.11.2017;95
Folgefonna Skisenter;SN49085;29.11.2017;94
Folgefonna Skisenter;SN49085;29.12.2017;150
Folgefonna Skisenter;SN49085;30.12.2017;177
Folgefonna Skisenter;SN49085;31.12.2017;173
Folgefonna Skisenter;SN49085;02.01.2018;182
Folgefonna Skisenter;SN49085;04.01.2018;171
Folgefonna Skisenter;SN49085;05.01.2018;166
Folgefonna Skisenter;SN49085;06.01.2018;166
Folgefonna Skisenter;SN49085;07.01.2018;167
Folgefonna Skisenter;SN49085;08.01.2018;181
Folgefonna Skisenter;SN49085;09.01.2018;178
Folgefonna Skisenter;SN49085;10.01.2018;151
Folgefonna Skisenter;SN49085;11.01.2018;151
Folgefonna Skisenter;SN49085;12.01.2018;151
Folgefonna Skisenter;SN49085;13.01.2018;151
Folgefonna Skisenter;SN49085;14.01.2018;150
Folgefonna Skisenter;SN49085;15.01.2018;164
Folgefonna Skisenter;SN49085;16.01.2018;152
Folgefonna Skisenter;SN49085;17.01.2018;150
Folgefonna Skisenter;SN49085;18.01.2018;150
Folgefonna Skisenter;SN49085;19.01.2018;150
Folgefonna Skisenter;SN49085;20.01.2018;150
Folgefonna Skisenter;SN49085;21.01.2018;150
Folgefonna Skisenter;SN49085;22.01.2018;150
Folgefonna Skisenter;SN49085;23.01.2018;150
Folgefonna Skisenter;SN49085;24.01.2018;168
Folgefonna Skisenter;SN49085;28.01.2018;171
Folgefonna Skisenter;SN49085;29.01.2018;212
Folgefonna Skisenter;SN49085;30.01.2018;216
Folgefonna Skisenter;SN49085;31.01.2018;237
Folgefonna Skisenter;SN49085;01.02.2018;222
Folgefonna Skisenter;SN49085;02.02.2018;209
Folgefonna Skisenter;SN49085;03.02.2018;208
Folgefonna Skisenter;SN49085;04.02.2018;208
Folgefonna Skisenter;SN49085;05.02.2018;201
Folgefonna Skisenter;SN49085;06.02.2018;202
Folgefonna Skisenter;SN49085;07.02.2018;205
Folgefonna Skisenter;SN49085;08.02.2018;206
Folgefonna Skisenter;SN49085;09.02.2018;202
Folgefonna Skisenter;SN49085;10.02.2018;201
Folgefonna Skisenter;SN49085;12.02.2018;179
Folgefonna Skisenter;SN49085;13.02.2018;180
Folgefonna Skisenter;SN49085;14.02.2018;179
Folgefonna Skisenter;SN49085;15.02.2018;179
Folgefonna Skisenter;SN49085;16.02.2018;179
Folgefonna Skisenter;SN49085;17.02.2018;186
Folgefonna Skisenter;SN49085;18.02.2018;178
Folgefonna Skisenter;SN49085;19.02.2018;177
Folgefonna Skisenter;SN49085;20.02.2018;176
Folgefonna Skisenter;SN49085;21.02.2018;180
Folgefonna Skisenter;SN49085;22.02.2018;179
Folgefonna Skisenter;SN49085;23.02.2018;179
Folgefonna Skisenter;SN49085;24.02.2018;179
Folgefonna Skisenter;SN49085;25.02.2018;179
Folgefonna Skisenter;SN49085;26.02.2018;185
Folgefonna Skisenter;SN49085;27.02.2018;179
Folgefonna Skisenter;SN49085;28.02.2018;162
Folgefonna Skisenter;SN49085;01.03.2018;161
Folgefonna Skisenter;SN49085;02.03.2018;159
Folgefonna Skisenter;SN49085;03.03.2018;159
Folgefonna Skisenter;SN49085;04.03.2018;162
Folgefonna Skisenter;SN49085;05.03.2018;158
Folgefonna Skisenter;SN49085;06.03.2018;158
Folgefonna Skisenter;SN49085;07.03.2018;158
Folgefonna Skisenter;SN49085;08.03.2018;158
Folgefonna Skisenter;SN49085;09.03.2018;158
Folgefonna Skisenter;SN49085;10.03.2018;160
Folgefonna Skisenter;SN49085;11.03.2018;157
Folgefonna Skisenter;SN49085;12.03.2018;160
Folgefonna Skisenter;SN49085;13.03.2018;161
Folgefonna Skisenter;SN49085;14.03.2018;161
Folgefonna Skisenter;SN49085;15.03.2018;157
Folgefonna Skisenter;SN49085;16.03.2018;154
Folgefonna Skisenter;SN49085;17.03.2018;153
Folgefonna Skisenter;SN49085;18.03.2018;153
Folgefonna Skisenter;SN49085;19.03.2018;154
Folgefonna Skisenter;SN49085;20.03.2018;167
Folgefonna Skisenter;SN49085;21.03.2018;181
Folgefonna Skisenter;SN49085;22.03.2018;175
Folgefonna Skisenter;SN49085;23.03.2018;173
Folgefonna Skisenter;SN49085;24.03.2018;172
Folgefonna Skisenter;SN49085;25.03.2018;174
Folgefonna Skisenter;SN49085;26.03.2018;184
Folgefonna Skisenter;SN49085;27.03.2018;177
Folgefonna Skisenter;SN49085;28.03.2018;171
Folgefonna Skisenter;SN49085;29.03.2018;204
Folgefonna Skisenter;SN49085;30.03.2018;197
Folgefonna Skisenter;SN49085;31.03.2018;197
Folgefonna Skisenter;SN49085;01.04.2018;197
Folgefonna Skisenter;SN49085;02.04.2018;197
Folgefonna Skisenter;SN49085;03.04.2018;196
Folgefonna Skisenter;SN49085;04.04.2018;203
Folgefonna Skisenter;SN49085;05.04.2018;207
Folgefonna Skisenter;SN49085;06.04.2018;205
Folgefonna Skisenter;SN49085;07.04.2018;200
Folgefonna Skisenter;SN49085;08.04.2018;199
Folgefonna Skisenter;SN49085;09.04.2018;192
Folgefonna Skisenter;SN49085;10.04.2018;191
Folgefonna Skisenter;SN49085;11.04.2018;189
Folgefonna Skisenter;SN49085;12.04.2018;188
Folgefonna Skisenter;SN49085;13.04.2018;185
Folgefonna Skisenter;SN49085;14.04.2018;174
Folgefonna Skisenter;SN49085;15.04.2018;159
Folgefonna Skisenter;SN49085;16.04.2018;153
Folgefonna Skisenter;SN49085;17.04.2018;35
Folgefonna Skisenter;SN49085;18.04.2018;32
Folgefonna Skisenter;SN49085;19.04.2018;27
Folgefonna Skisenter;SN49085;20.04.2018;18
Folgefonna Skisenter;SN49085;21.04.2018;21
Folgefonna Skisenter;SN49085;22.04.2018;21
Folgefonna Skisenter;SN49085;23.04.2018;13
Folgefonna Skisenter;SN49085;24.04.2018;38
Folgefonna Skisenter;SN49085;25.04.2018;58
Folgefonna Skisenter;SN49085;26.04.2018;84
Folgefonna Skisenter;SN49085;27.04.2018;73
Folgefonna Skisenter;SN49085;28.04.2018;71
Folgefonna Skisenter;SN49085;29.04.2018;63
Folgefonna Skisenter;SN49085;30.04.2018;59
Folgefonna Skisenter;SN49085;01.05.2018;56
Folgefonna Skisenter;SN49085;02.05.2018;56
Folgefonna Skisenter;SN49085;03.05.2018;57
Folgefonna Skisenter;SN49085;04.05.2018;67
Folgefonna Skisenter;SN49085;05.05.2018;54
Folgefonna Skisenter;SN49085;06.05.2018;37
Folgefonna Skisenter;SN49085;07.05.2018;28
Folgefonna Skisenter;SN49085;08.05.2018;18
Folgefonna Skisenter;SN49085;09.05.2018;0
Folgefonna Skisenter;SN49085;10.05.2018;0
Folgefonna Skisenter;SN49085;11.05.2018;0
Folgefonna Skisenter;SN49085;12.05.2018;0
Folgefonna Skisenter;SN49085;13.05.2018;0
Folgefonna Skisenter;SN49085;14.05.2018;0
Folgefonna Skisenter;SN49085;15.05.2018;0
Folgefonna Skisenter;SN49085;16.05.2018;0
Folgefonna Skisenter;SN49085;17.05.2018;0
Folgefonna Skisenter;SN49085;18.05.2018;0
Folgefonna Skisenter;SN49085;19.05.2018;0
Folgefonna Skisenter;SN49085;20.05.2018;0
Folgefonna Skisenter;SN49085;21.05.2018;0
Folgefonna Skisenter;SN49085;22.05.2018;0
Folgefonna Skisenter;SN49085;23.05.2018;0
Folgefonna Skisenter;SN49085;24.05.2018;0
Folgefonna Skisenter;SN49085;25.05.2018;0
Folgefonna Skisenter;SN49085;26.05.2018;0
Folgefonna Skisenter;SN49085;27.05.2018;0
Folgefonna Skisenter;SN49085;28.05.2018;0
Folgefonna Skisenter;SN49085;29.05.2018;0
Folgefonna Skisenter;SN49085;30.05.2018;0
Folgefonna Skisenter;SN49085;31.05.2018;0
Folgefonna Skisenter;SN49085;01.06.2018;0
Folgefonna Skisenter;SN49085;02.06.2018;0
Folgefonna Skisenter;SN49085;03.06.2018;0
Folgefonna Skisenter;SN49085;04.06.2018;0
Folgefonna Skisenter;SN49085;05.06.2018;0
Folgefonna Skisenter;SN49085;06.06.2018;0
Folgefonna Skisenter;SN49085;07.06.2018;0
Folgefonna Skisenter;SN49085;08.06.2018;0
Folgefonna Skisenter;SN49085;09.06.2018;0
Folgefonna Skisenter;SN49085;10.06.2018;0
Folgefonna Skisenter;SN49085;11.06.2018;0
Folgefonna Skisenter;SN49085;12.06.2018;0
Folgefonna Skisenter;SN49085;13.06.2018;0
Folgefonna Skisenter;SN49085;14.06.2018;0
Folgefonna Skisenter;SN49085;15.06.2018;0
Folgefonna Skisenter;SN49085;16.06.2018;0
Folgefonna Skisenter;SN49085;17.06.2018;0
Folgefonna Skisenter;SN49085;18.06.2018;0
Folgefonna Skisenter;SN49085;19.06.2018;0
Folgefonna Skisenter;SN49085;20.06.2018;5
Folgefonna Skisenter;SN49085;21.06.2018;3
Folgefonna Skisenter;SN49085;22.06.2018;0
Folgefonna Skisenter;SN49085;23.06.2018;0
Folgefonna Skisenter;SN49085;24.06.2018;0
Folgefonna Skisenter;SN49085;25.06.2018;0
Folgefonna Skisenter;SN49085;26.06.2018;0
Folgefonna Skisenter;SN49085;27.06.2018;0
Folgefonna Skisenter;SN49085;28.06.2018;0
Folgefonna Skisenter;SN49085;29.06.2018;0
Folgefonna Skisenter;SN49085;30.06.2018;0
Folgefonna Skisenter;SN49085;01.07.2018;0
Folgefonna Skisenter;SN49085;02.07.2018;0
Folgefonna Skisenter;SN49085;03.07.2018;0
Folgefonna Skisenter;SN49085;04.07.2018;0
Folgefonna Skisenter;SN49085;05.07.2018;0
Folgefonna Skisenter;SN49085;06.07.2018;0
Folgefonna Skisenter;SN49085;07.07.2018;0
Folgefonna Skisenter;SN49085;08.07.2018;0
Folgefonna Skisenter;SN49085;09.07.2018;0
Folgefonna Skisenter;SN49085;10.07.2018;0
Folgefonna Skisenter;SN49085;11.07.2018;0
Folgefonna Skisenter;SN49085;12.07.2018;0
Folgefonna Skisenter;SN49085;13.07.2018;0
Folgefonna Skisenter;SN49085;14.07.2018;0
Folgefonna Skisenter;SN49085;15.07.2018;0
Folgefonna Skisenter;SN49085;16.07.2018;0
Folgefonna Skisenter;SN49085;17.07.2018;0
Folgefonna Skisenter;SN49085;18.07.2018;0
Folgefonna Skisenter;SN49085;19.07.2018;0
Folgefonna Skisenter;SN49085;20.07.2018;0
Folgefonna Skisenter;SN49085;21.07.2018;0
Folgefonna Skisenter;SN49085;22.07.2018;0
Folgefonna Skisenter;SN49085;23.07.2018;0
Folgefonna Skisenter;SN49085;24.07.2018;0
Folgefonna Skisenter;SN49085;25.07.2018;0
Folgefonna Skisenter;SN49085;26.07.2018;0
Folgefonna Skisenter;SN49085;27.07.2018;0
Folgefonna Skisenter;SN49085;28.07.2018;0
Folgefonna Skisenter;SN49085;29.07.2018;0
Folgefonna Skisenter;SN49085;30.07.2018;0
Folgefonna Skisenter;SN49085;31.07.2018;0
Folgefonna Skisenter;SN49085;01.08.2018;0
Folgefonna Skisenter;SN49085;02.08.2018;0
Folgefonna Skisenter;SN49085;03.08.2018;0
Folgefonna Skisenter;SN49085;04.08.2018;0
Folgefonna Skisenter;SN49085;05.08.2018;0
Folgefonna Skisenter;SN49085;06.08.2018;0
Folgefonna Skisenter;SN49085;07.08.2018;0
Folgefonna Skisenter;SN49085;08.08.2018;0
Folgefonna Skisenter;SN49085;09.08.2018;0
Folgefonna Skisenter;SN49085;10.08.2018;0
Folgefonna Skisenter;SN49085;11.08.2018;0
Folgefonna Skisenter;SN49085;12.08.2018;0
Folgefonna Skisenter;SN49085;13.08.2018;0
Folgefonna Skisenter;SN49085;14.08.2018;0
Folgefonna Skisenter;SN49085;15.08.2018;0
Folgefonna Skisenter;SN49085;16.08.2018;0
Folgefonna Skisenter;SN49085;17.08.2018;0
Folgefonna Skisenter;SN49085;18.08.2018;0
Folgefonna Skisenter;SN49085;19.08.2018;0
Folgefonna Skisenter;SN49085;20.08.2018;0
Folgefonna Skisenter;SN49085;21.08.2018;0
Folgefonna Skisenter;SN49085;22.08.2018;0
Folgefonna Skisenter;SN49085;23.08.2018;0
Folgefonna Skisenter;SN49085;24.08.2018;0
Folgefonna Skisenter;SN49085;25.08.2018;0
Folgefonna Skisenter;SN49085;26.08.2018;0
Folgefonna Skisenter;SN49085;27.08.2018;0
Folgefonna Skisenter;SN49085;28.08.2018;0
Folgefonna Skisenter;SN49085;29.08.2018;0
Folgefonna Skisenter;SN49085;31.08.2018;0
Folgefonna Skisenter;SN49085;01.09.2018;0
Folgefonna Skisenter;SN49085;02.09.2018;0
Folgefonna Skisenter;SN49085;03.09.2018;0
Folgefonna Skisenter;SN49085;04.09.2018;0
Folgefonna Skisenter;SN49085;05.09.2018;0
Folgefonna Skisenter;SN49085;06.09.2018;0
Folgefonna Skisenter;SN49085;07.09.2018;0
Folgefonna Skisenter;SN49085;08.09.2018;0
Folgefonna Skisenter;SN49085;09.09.2018;0
Folgefonna Skisenter;SN49085;10.09.2018;0
Folgefonna Skisenter;SN49085;11.09.2018;0
Folgefonna Skisenter;SN49085;12.09.2018;0
Folgefonna Skisenter;SN49085;13.09.2018;4
Folgefonna Skisenter;SN49085;14.09.2018;8
Folgefonna Skisenter;SN49085;15.09.2018;8
Folgefonna Skisenter;SN49085;16.09.2018;9
Folgefonna Skisenter;SN49085;17.09.2018;0
Folgefonna Skisenter;SN49085;18.09.2018;0
Folgefonna Skisenter;SN49085;19.09.2018;0
Folgefonna Skisenter;SN49085;26.09.2018;15
Folgefonna Skisenter;SN49085;27.09.2018;15
Folgefonna Skisenter;SN49085;28.09.2018;22
Folgefonna Skisenter;SN49085;29.09.2018;32
Folgefonna Skisenter;SN49085;30.09.2018;44
Folgefonna Skisenter;SN49085;01.10.2018;67
Folgefonna Skisenter;SN49085;02.10.2018;0
Folgefonna Skisenter;SN49085;03.10.2018;101
Folgefonna Skisenter;SN49085;04.10.2018;93
Folgefonna Skisenter;SN49085;05.10.2018;77
Folgefonna Skisenter;SN49085;06.10.2018;105
Folgefonna Skisenter;SN49085;07.10.2018;107
Folgefonna Skisenter;SN49085;08.10.2018;76
Folgefonna Skisenter;SN49085;09.10.2018;67
Folgefonna Skisenter;SN49085;10.10.2018;53
Folgefonna Skisenter;SN49085;11.10.2018;36
Folgefonna Skisenter;SN49085;12.10.2018;13
Folgefonna Skisenter;SN49085;13.10.2018;0
Folgefonna Skisenter;SN49085;14.10.2018;0
Folgefonna Skisenter;SN49085;15.10.2018;0
Folgefonna Skisenter;SN49085;16.10.2018;0
Folgefonna Skisenter;SN49085;17.10.2018;0
Folgefonna Skisenter;SN49085;18.10.2018;2
Folgefonna Skisenter;SN49085;19.10.2018;3
Folgefonna Skisenter;SN49085;20.10.2018;5
Folgefonna Skisenter;SN49085;21.10.2018;0
Folgefonna Skisenter;SN49085;22.10.2018;14
Folgefonna Skisenter;SN49085;23.10.2018;71
Folgefonna Skisenter;SN49085;24.10.2018;70
Folgefonna Skisenter;SN49085;25.10.2018;73
Folgefonna Skisenter;SN49085;26.10.2018;75
Folgefonna Skisenter;SN49085;27.10.2018;62
Folgefonna Skisenter;SN49085;28.10.2018;60
Folgefonna Skisenter;SN49085;29.10.2018;60
Folgefonna Skisenter;SN49085;30.10.2018;58
Folgefonna Skisenter;SN49085;31.10.2018;57
Folgefonna Skisenter;SN49085;01.11.2018;58
Folgefonna Skisenter;SN49085;02.11.2018;61
Folgefonna Skisenter;SN49085;03.11.2018;68
Folgefonna Skisenter;SN49085;04.11.2018;52
Folgefonna Skisenter;SN49085;05.11.2018;50
Folgefonna Skisenter;SN49085;06.11.2018;47
Folgefonna Skisenter;SN49085;07.11.2018;37
Folgefonna Skisenter;SN49085;08.11.2018;23
Folgefonna Skisenter;SN49085;09.11.2018;17
Folgefonna Skisenter;SN49085;10.11.2018;17
Folgefonna Skisenter;SN49085;11.11.2018;14
Folgefonna Skisenter;SN49085;12.11.2018;8
Folgefonna Skisenter;SN49085;13.11.2018;13
Folgefonna Skisenter;SN49085;14.11.2018;22
Folgefonna Skisenter;SN49085;15.11.2018;7
Folgefonna Skisenter;SN49085;16.11.2018;0
Folgefonna Skisenter;SN49085;17.11.2018;0
Folgefonna Skisenter;SN49085;18.11.2018;0
Folgefonna Skisenter;SN49085;19.11.2018;0
Folgefonna Skisenter;SN49085;20.11.2018;0
Folgefonna Skisenter;SN49085;21.11.2018;0
Folgefonna Skisenter;SN49085;22.11.2018;0
Folgefonna Skisenter;SN49085;23.11.2018;0
Folgefonna Skisenter;SN49085;24.11.2018;0
Folgefonna Skisenter;SN49085;25.11.2018;0
Folgefonna Skisenter;SN49085;26.11.2018;0
Folgefonna Skisenter;SN49085;27.11.2018;0
Folgefonna Skisenter;SN49085;28.11.2018;0
Folgefonna Skisenter;SN49085;29.11.2018;0
Folgefonna Skisenter;SN49085;30.11.2018;5
Folgefonna Skisenter;SN49085;01.12.2018;17
Folgefonna Skisenter;SN49085;02.12.2018;34
Folgefonna Skisenter;SN49085;03.12.2018;2
Folgefonna Skisenter;SN49085;04.12.2018;31
Folgefonna Skisenter;SN49085;05.12.2018;48
Folgefonna Skisenter;SN49085;06.12.2018;45
Folgefonna Skisenter;SN49085;07.12.2018;22
Folgefonna Skisenter;SN49085;09.12.2018;24
Folgefonna Skisenter;SN49085;10.12.2018;20
Folgefonna Skisenter;SN49085;11.12.2018;20
Folgefonna Skisenter;SN49085;12.12.2018;20
Folgefonna Skisenter;SN49085;13.12.2018;20
Folgefonna Skisenter;SN49085;14.12.2018;20
Folgefonna Skisenter;SN49085;15.12.2018;19
Folgefonna Skisenter;SN49085;16.12.2018;0
Folgefonna Skisenter;SN49085;18.12.2018;0
Folgefonna Skisenter;SN49085;19.12.2018;0
Folgefonna Skisenter;SN49085;20.12.2018;0
Folgefonna Skisenter;SN49085;21.12.2018;0
Folgefonna Skisenter;SN49085;22.12.2018;2
Folgefonna Skisenter;SN49085;23.12.2018;3
Folgefonna Skisenter;SN49085;24.12.2018;3
Folgefonna Skisenter;SN49085;25.12.2018;37
Folgefonna Skisenter;SN49085;26.12.2018;39
Folgefonna Skisenter;SN49085;27.12.2018;32
Folgefonna Skisenter;SN49085;28.12.2018;41
Folgefonna Skisenter;SN49085;29.12.2018;40
Folgefonna Skisenter;SN49085;30.12.2018;50
Folgefonna Skisenter;SN49085;31.12.2018;59
Folgefonna Skisenter;SN49085;01.01.2019;66
Folgefonna Skisenter;SN49085;02.01.2019;64
Folgefonna Skisenter;SN49085;03.01.2019;64
Folgefonna Skisenter;SN49085;04.01.2019;66
Folgefonna Skisenter;SN49085;05.01.2019;62
Folgefonna Skisenter;SN49085;06.01.2019;61
Folgefonna Skisenter;SN49085;07.01.2019;64
Folgefonna Skisenter;SN49085;08.01.2019;68
Folgefonna Skisenter;SN49085;09.01.2019;66
Folgefonna Skisenter;SN49085;10.01.2019;66
Folgefonna Skisenter;SN49085;11.01.2019;68
Folgefonna Skisenter;SN49085;12.01.2019;68
Folgefonna Skisenter;SN49085;13.01.2019;106
Folgefonna Skisenter;SN49085;14.01.2019;113
Folgefonna Skisenter;SN49085;15.01.2019;114
Folgefonna Skisenter;SN49085;16.01.2019;131
Folgefonna Skisenter;SN49085;17.01.2019;116
Folgefonna Skisenter;SN49085;18.01.2019;123
Folgefonna Skisenter;SN49085;19.01.2019;131
Folgefonna Skisenter;SN49085;20.01.2019;136
Folgefonna Skisenter;SN49085;21.01.2019;145
Folgefonna Skisenter;SN49085;22.01.2019;124
Folgefonna Skisenter;SN49085;23.01.2019;93
Folgefonna Skisenter;SN49085;24.01.2019;91
Folgefonna Skisenter;SN49085;25.01.2019;91
Folgefonna Skisenter;SN49085;27.01.2019;68
Folgefonna Skisenter;SN49085;28.01.2019;68
Folgefonna Skisenter;SN49085;29.01.2019;70
Folgefonna Skisenter;SN49085;30.01.2019;69
Folgefonna Skisenter;SN49085;31.01.2019;68
Folgefonna Skisenter;SN49085;01.02.2019;69
Folgefonna Skisenter;SN49085;02.02.2019;68
Folgefonna Skisenter;SN49085;03.02.2019;68
Folgefonna Skisenter;SN49085;04.02.2019;68
Folgefonna Skisenter;SN49085;05.02.2019;72
Folgefonna Skisenter;SN49085;06.02.2019;68
Folgefonna Skisenter;SN49085;07.02.2019;75
Folgefonna Skisenter;SN49085;08.02.2019;68
Folgefonna Skisenter;SN49085;09.02.2019;68
Folgefonna Skisenter;SN49085;10.02.2019;70
Folgefonna Skisenter;SN49085;11.02.2019;75
