Navn;Stasjon;Tid(norsk normaltid);Snødybde
Folgefonna Skisenter;SN49085;14.02.2016;320
Folgefonna Skisenter;SN49085;15.02.2016;320
Folgefonna Skisenter;SN49085;16.02.2016;319
Folgefonna Skisenter;SN49085;17.02.2016;315
Folgefonna Skisenter;SN49085;18.02.2016;314
Folgefonna Skisenter;SN49085;19.02.2016;315
Folgefonna Skisenter;SN49085;20.02.2016;322
Folgefonna Skisenter;SN49085;21.02.2016;346
Folgefonna Skisenter;SN49085;22.02.2016;360
Folgefonna Skisenter;SN49085;23.02.2016;362
Folgefonna Skisenter;SN49085;24.02.2016;358
Folgefonna Skisenter;SN49085;25.02.2016;359
Folgefonna Skisenter;SN49085;26.02.2016;356
Folgefonna Skisenter;SN49085;27.02.2016;354
Folgefonna Skisenter;SN49085;28.02.2016;352
Folgefonna Skisenter;SN49085;29.02.2016;350
Folgefonna Skisenter;SN49085;01.03.2016;345
Folgefonna Skisenter;SN49085;02.03.2016;339
Folgefonna Skisenter;SN49085;03.03.2016;303
Folgefonna Skisenter;SN49085;04.03.2016;303
Folgefonna Skisenter;SN49085;05.03.2016;304
Folgefonna Skisenter;SN49085;06.03.2016;302
Folgefonna Skisenter;SN49085;07.03.2016;302
Folgefonna Skisenter;SN49085;08.03.2016;301
Folgefonna Skisenter;SN49085;09.03.2016;301
Folgefonna Skisenter;SN49085;10.03.2016;301
Folgefonna Skisenter;SN49085;11.03.2016;301
Folgefonna Skisenter;SN49085;12.03.2016;301
Folgefonna Skisenter;SN49085;13.03.2016;300
Folgefonna Skisenter;SN49085;14.03.2016;298
Folgefonna Skisenter;SN49085;15.03.2016;296
Folgefonna Skisenter;SN49085;16.03.2016;296
Folgefonna Skisenter;SN49085;17.03.2016;295
Folgefonna Skisenter;SN49085;18.03.2016;295
Folgefonna Skisenter;SN49085;19.03.2016;295
Folgefonna Skisenter;SN49085;20.03.2016;295
Folgefonna Skisenter;SN49085;21.03.2016;296
Folgefonna Skisenter;SN49085;22.03.2016;300
Folgefonna Skisenter;SN49085;23.03.2016;299
Folgefonna Skisenter;SN49085;24.03.2016;299
Folgefonna Skisenter;SN49085;25.03.2016;307
Folgefonna Skisenter;SN49085;26.03.2016;305
Folgefonna Skisenter;SN49085;28.03.2016;298
Folgefonna Skisenter;SN49085;30.03.2016;300
Folgefonna Skisenter;SN49085;31.03.2016;304
Folgefonna Skisenter;SN49085;01.04.2016;303
Folgefonna Skisenter;SN49085;02.04.2016;297
Folgefonna Skisenter;SN49085;03.04.2016;303
Folgefonna Skisenter;SN49085;04.04.2016;300
Folgefonna Skisenter;SN49085;05.04.2016;296
Folgefonna Skisenter;SN49085;06.04.2016;297
Folgefonna Skisenter;SN49085;07.04.2016;302
Folgefonna Skisenter;SN49085;08.04.2016;300
Folgefonna Skisenter;SN49085;09.04.2016;302
Folgefonna Skisenter;SN49085;10.04.2016;300
Folgefonna Skisenter;SN49085;11.04.2016;300
Folgefonna Skisenter;SN49085;12.04.2016;300
Folgefonna Skisenter;SN49085;13.04.2016;299
Folgefonna Skisenter;SN49085;14.04.2016;303
Folgefonna Skisenter;SN49085;15.04.2016;315
Folgefonna Skisenter;SN49085;16.04.2016;311
Folgefonna Skisenter;SN49085;17.04.2016;308
Folgefonna Skisenter;SN49085;18.04.2016;310
Folgefonna Skisenter;SN49085;19.04.2016;356
Folgefonna Skisenter;SN49085;20.04.2016;352
Folgefonna Skisenter;SN49085;21.04.2016;386
Folgefonna Skisenter;SN49085;22.04.2016;378
Folgefonna Skisenter;SN49085;23.04.2016;376
Folgefonna Skisenter;SN49085;24.04.2016;378
Folgefonna Skisenter;SN49085;25.04.2016;375
Folgefonna Skisenter;SN49085;26.04.2016;366
Folgefonna Skisenter;SN49085;27.04.2016;365
Folgefonna Skisenter;SN49085;28.04.2016;364
Folgefonna Skisenter;SN49085;29.04.2016;363
Folgefonna Skisenter;SN49085;30.04.2016;362
Folgefonna Skisenter;SN49085;01.05.2016;361
Folgefonna Skisenter;SN49085;02.05.2016;360
Folgefonna Skisenter;SN49085;03.05.2016;363
Folgefonna Skisenter;SN49085;04.05.2016;366
Folgefonna Skisenter;SN49085;05.05.2016;361
Folgefonna Skisenter;SN49085;06.05.2016;356
Folgefonna Skisenter;SN49085;07.05.2016;348
Folgefonna Skisenter;SN49085;08.05.2016;326
Folgefonna Skisenter;SN49085;09.05.2016;317
Folgefonna Skisenter;SN49085;10.05.2016;312
Folgefonna Skisenter;SN49085;11.05.2016;308
Folgefonna Skisenter;SN49085;12.05.2016;303
Folgefonna Skisenter;SN49085;13.05.2016;299
Folgefonna Skisenter;SN49085;14.05.2016;299
Folgefonna Skisenter;SN49085;15.05.2016;298
Folgefonna Skisenter;SN49085;16.05.2016;296
Folgefonna Skisenter;SN49085;17.05.2016;294
Folgefonna Skisenter;SN49085;18.05.2016;296
Folgefonna Skisenter;SN49085;19.05.2016;290
Folgefonna Skisenter;SN49085;20.05.2016;285
Folgefonna Skisenter;SN49085;21.05.2016;285
Folgefonna Skisenter;SN49085;22.05.2016;270
Folgefonna Skisenter;SN49085;23.05.2016;264
Folgefonna Skisenter;SN49085;24.05.2016;259
Folgefonna Skisenter;SN49085;25.05.2016;253
Folgefonna Skisenter;SN49085;26.05.2016;216
Folgefonna Skisenter;SN49085;27.05.2016;206
Folgefonna Skisenter;SN49085;28.05.2016;201
Folgefonna Skisenter;SN49085;29.05.2016;195
Folgefonna Skisenter;SN49085;30.05.2016;177
Folgefonna Skisenter;SN49085;31.05.2016;141
Folgefonna Skisenter;SN49085;01.06.2016;125
Folgefonna Skisenter;SN49085;02.06.2016;105
Folgefonna Skisenter;SN49085;03.06.2016;88
Folgefonna Skisenter;SN49085;04.06.2016;81
Folgefonna Skisenter;SN49085;05.06.2016;73
Folgefonna Skisenter;SN49085;06.06.2016;52
Folgefonna Skisenter;SN49085;07.06.2016;39
Folgefonna Skisenter;SN49085;08.06.2016;32
Folgefonna Skisenter;SN49085;09.06.2016;27
Folgefonna Skisenter;SN49085;10.06.2016;22
Folgefonna Skisenter;SN49085;11.06.2016;20
Folgefonna Skisenter;SN49085;12.06.2016;13
Folgefonna Skisenter;SN49085;13.06.2016;7
Folgefonna Skisenter;SN49085;14.06.2016;0
Folgefonna Skisenter;SN49085;15.06.2016;0
Folgefonna Skisenter;SN49085;16.06.2016;0
Folgefonna Skisenter;SN49085;17.06.2016;0
Folgefonna Skisenter;SN49085;18.06.2016;0
Folgefonna Skisenter;SN49085;19.06.2016;0
Folgefonna Skisenter;SN49085;20.06.2016;0
Folgefonna Skisenter;SN49085;21.06.2016;0
Folgefonna Skisenter;SN49085;22.06.2016;0
Folgefonna Skisenter;SN49085;23.06.2016;0
Folgefonna Skisenter;SN49085;24.06.2016;0
Folgefonna Skisenter;SN49085;25.06.2016;0
Folgefonna Skisenter;SN49085;26.06.2016;0
Folgefonna Skisenter;SN49085;27.06.2016;0
Folgefonna Skisenter;SN49085;28.06.2016;0
Folgefonna Skisenter;SN49085;29.06.2016;0
Folgefonna Skisenter;SN49085;30.06.2016;0
Folgefonna Skisenter;SN49085;01.07.2016;0
Folgefonna Skisenter;SN49085;02.07.2016;0
Folgefonna Skisenter;SN49085;03.07.2016;0
Folgefonna Skisenter;SN49085;04.07.2016;0
Folgefonna Skisenter;SN49085;05.07.2016;0
Folgefonna Skisenter;SN49085;06.07.2016;0
Folgefonna Skisenter;SN49085;07.07.2016;0
Folgefonna Skisenter;SN49085;08.07.2016;0
Folgefonna Skisenter;SN49085;09.07.2016;0
Folgefonna Skisenter;SN49085;10.07.2016;0
Folgefonna Skisenter;SN49085;11.07.2016;0
Folgefonna Skisenter;SN49085;12.07.2016;0
Folgefonna Skisenter;SN49085;13.07.2016;0
Folgefonna Skisenter;SN49085;14.07.2016;0
Folgefonna Skisenter;SN49085;15.07.2016;0
Folgefonna Skisenter;SN49085;16.07.2016;0
Folgefonna Skisenter;SN49085;17.07.2016;0
Folgefonna Skisenter;SN49085;18.07.2016;0
Folgefonna Skisenter;SN49085;19.07.2016;0
Folgefonna Skisenter;SN49085;20.07.2016;0
Folgefonna Skisenter;SN49085;21.07.2016;0
Folgefonna Skisenter;SN49085;22.07.2016;0
Folgefonna Skisenter;SN49085;23.07.2016;0
Folgefonna Skisenter;SN49085;24.07.2016;0
Folgefonna Skisenter;SN49085;25.07.2016;0
Folgefonna Skisenter;SN49085;26.07.2016;0
Folgefonna Skisenter;SN49085;27.07.2016;0
Folgefonna Skisenter;SN49085;28.07.2016;0
Folgefonna Skisenter;SN49085;29.07.2016;0
Folgefonna Skisenter;SN49085;30.07.2016;0
Folgefonna Skisenter;SN49085;31.07.2016;0
Folgefonna Skisenter;SN49085;01.08.2016;0
Folgefonna Skisenter;SN49085;02.08.2016;0
Folgefonna Skisenter;SN49085;03.08.2016;0
Folgefonna Skisenter;SN49085;04.08.2016;0
Folgefonna Skisenter;SN49085;05.08.2016;0
Folgefonna Skisenter;SN49085;06.08.2016;0
Folgefonna Skisenter;SN49085;07.08.2016;0
Folgefonna Skisenter;SN49085;08.08.2016;0
Folgefonna Skisenter;SN49085;09.08.2016;0
Folgefonna Skisenter;SN49085;10.08.2016;0
Folgefonna Skisenter;SN49085;11.08.2016;0
Folgefonna Skisenter;SN49085;12.08.2016;0
Folgefonna Skisenter;SN49085;13.08.2016;0
Folgefonna Skisenter;SN49085;14.08.2016;0
Folgefonna Skisenter;SN49085;15.08.2016;0
Folgefonna Skisenter;SN49085;16.08.2016;0
Folgefonna Skisenter;SN49085;17.08.2016;0
Folgefonna Skisenter;SN49085;18.08.2016;0
Folgefonna Skisenter;SN49085;19.08.2016;0
Folgefonna Skisenter;SN49085;20.08.2016;0
Folgefonna Skisenter;SN49085;21.08.2016;0
Folgefonna Skisenter;SN49085;22.08.2016;0
Folgefonna Skisenter;SN49085;23.08.2016;0
Folgefonna Skisenter;SN49085;24.08.2016;0
Folgefonna Skisenter;SN49085;25.08.2016;0
Folgefonna Skisenter;SN49085;26.08.2016;0
Folgefonna Skisenter;SN49085;27.08.2016;0
Folgefonna Skisenter;SN49085;28.08.2016;0
Folgefonna Skisenter;SN49085;29.08.2016;0
Folgefonna Skisenter;SN49085;30.08.2016;0
Folgefonna Skisenter;SN49085;31.08.2016;0
Folgefonna Skisenter;SN49085;01.09.2016;0
Folgefonna Skisenter;SN49085;02.09.2016;0
Folgefonna Skisenter;SN49085;03.09.2016;0
Folgefonna Skisenter;SN49085;04.09.2016;0
Folgefonna Skisenter;SN49085;05.09.2016;0
Folgefonna Skisenter;SN49085;06.09.2016;0
Folgefonna Skisenter;SN49085;07.09.2016;0
Folgefonna Skisenter;SN49085;08.09.2016;0
Folgefonna Skisenter;SN49085;09.09.2016;0
Folgefonna Skisenter;SN49085;10.09.2016;0
Folgefonna Skisenter;SN49085;11.09.2016;0
Folgefonna Skisenter;SN49085;12.09.2016;0
Folgefonna Skisenter;SN49085;13.09.2016;0
Folgefonna Skisenter;SN49085;14.09.2016;0
Folgefonna Skisenter;SN49085;15.09.2016;0
Folgefonna Skisenter;SN49085;16.09.2016;0
Folgefonna Skisenter;SN49085;17.09.2016;0
Folgefonna Skisenter;SN49085;18.09.2016;0
Folgefonna Skisenter;SN49085;19.09.2016;0
Folgefonna Skisenter;SN49085;20.09.2016;0
Folgefonna Skisenter;SN49085;21.09.2016;0
Folgefonna Skisenter;SN49085;22.09.2016;0
Folgefonna Skisenter;SN49085;23.09.2016;0
Folgefonna Skisenter;SN49085;24.09.2016;0
Folgefonna Skisenter;SN49085;25.09.2016;0
Folgefonna Skisenter;SN49085;26.09.2016;0
Folgefonna Skisenter;SN49085;27.09.2016;0
Folgefonna Skisenter;SN49085;28.09.2016;0
Folgefonna Skisenter;SN49085;29.09.2016;0
Folgefonna Skisenter;SN49085;30.09.2016;3
Folgefonna Skisenter;SN49085;01.10.2016;16
Folgefonna Skisenter;SN49085;02.10.2016;13
Folgefonna Skisenter;SN49085;03.10.2016;12
Folgefonna Skisenter;SN49085;04.10.2016;12
Folgefonna Skisenter;SN49085;05.10.2016;11
Folgefonna Skisenter;SN49085;06.10.2016;10
Folgefonna Skisenter;SN49085;07.10.2016;9
Folgefonna Skisenter;SN49085;08.10.2016;6
Folgefonna Skisenter;SN49085;09.10.2016;6
Folgefonna Skisenter;SN49085;10.10.2016;0
Folgefonna Skisenter;SN49085;11.10.2016;0
Folgefonna Skisenter;SN49085;12.10.2016;0
Folgefonna Skisenter;SN49085;13.10.2016;0
Folgefonna Skisenter;SN49085;14.10.2016;0
Folgefonna Skisenter;SN49085;15.10.2016;0
Folgefonna Skisenter;SN49085;16.10.2016;0
Folgefonna Skisenter;SN49085;17.10.2016;0
Folgefonna Skisenter;SN49085;18.10.2016;0
Folgefonna Skisenter;SN49085;19.10.2016;0
Folgefonna Skisenter;SN49085;20.10.2016;0
Folgefonna Skisenter;SN49085;21.10.2016;0
Folgefonna Skisenter;SN49085;22.10.2016;0
Folgefonna Skisenter;SN49085;23.10.2016;0
Folgefonna Skisenter;SN49085;24.10.2016;0
Folgefonna Skisenter;SN49085;25.10.2016;0
Folgefonna Skisenter;SN49085;26.10.2016;0
Folgefonna Skisenter;SN49085;27.10.2016;0
Folgefonna Skisenter;SN49085;28.10.2016;0
Folgefonna Skisenter;SN49085;29.10.2016;49
Folgefonna Skisenter;SN49085;30.10.2016;45
Folgefonna Skisenter;SN49085;31.10.2016;30
Folgefonna Skisenter;SN49085;01.11.2016;25
Folgefonna Skisenter;SN49085;02.11.2016;27
Folgefonna Skisenter;SN49085;03.11.2016;26
Folgefonna Skisenter;SN49085;04.11.2016;24
Folgefonna Skisenter;SN49085;05.11.2016;21
Folgefonna Skisenter;SN49085;06.11.2016;18
Folgefonna Skisenter;SN49085;07.11.2016;18
Folgefonna Skisenter;SN49085;08.11.2016;17
Folgefonna Skisenter;SN49085;09.11.2016;17
Folgefonna Skisenter;SN49085;10.11.2016;18
Folgefonna Skisenter;SN49085;11.11.2016;18
Folgefonna Skisenter;SN49085;12.11.2016;18
Folgefonna Skisenter;SN49085;13.11.2016;19
Folgefonna Skisenter;SN49085;14.11.2016;20
Folgefonna Skisenter;SN49085;15.11.2016;9
Folgefonna Skisenter;SN49085;16.11.2016;28
Folgefonna Skisenter;SN49085;17.11.2016;77
Folgefonna Skisenter;SN49085;18.11.2016;25
Folgefonna Skisenter;SN49085;19.11.2016;50
Folgefonna Skisenter;SN49085;20.11.2016;35
Folgefonna Skisenter;SN49085;21.11.2016;22
Folgefonna Skisenter;SN49085;22.11.2016;17
Folgefonna Skisenter;SN49085;23.11.2016;21
Folgefonna Skisenter;SN49085;24.11.2016;36
Folgefonna Skisenter;SN49085;25.11.2016;35
Folgefonna Skisenter;SN49085;26.11.2016;30
Folgefonna Skisenter;SN49085;27.11.2016;55
Folgefonna Skisenter;SN49085;28.11.2016;54
Folgefonna Skisenter;SN49085;29.11.2016;54
Folgefonna Skisenter;SN49085;30.11.2016;93
Folgefonna Skisenter;SN49085;01.12.2016;117
Folgefonna Skisenter;SN49085;02.12.2016;117
Folgefonna Skisenter;SN49085;03.12.2016;116
Folgefonna Skisenter;SN49085;04.12.2016;115
Folgefonna Skisenter;SN49085;05.12.2016;123
Folgefonna Skisenter;SN49085;06.12.2016;120
Folgefonna Skisenter;SN49085;07.12.2016;118
Folgefonna Skisenter;SN49085;08.12.2016;102
Folgefonna Skisenter;SN49085;09.12.2016;109
Folgefonna Skisenter;SN49085;10.12.2016;102
Folgefonna Skisenter;SN49085;11.12.2016;132
Folgefonna Skisenter;SN49085;12.12.2016;133
Folgefonna Skisenter;SN49085;13.12.2016;131
Folgefonna Skisenter;SN49085;14.12.2016;131
Folgefonna Skisenter;SN49085;15.12.2016;125
Folgefonna Skisenter;SN49085;16.12.2016;115
Folgefonna Skisenter;SN49085;17.12.2016;116
Folgefonna Skisenter;SN49085;18.12.2016;127
Folgefonna Skisenter;SN49085;19.12.2016;114
Folgefonna Skisenter;SN49085;20.12.2016;103
Folgefonna Skisenter;SN49085;21.12.2016;102
Folgefonna Skisenter;SN49085;22.12.2016;102
Folgefonna Skisenter;SN49085;23.12.2016;121
Folgefonna Skisenter;SN49085;24.12.2016;139
Folgefonna Skisenter;SN49085;25.12.2016;144
Folgefonna Skisenter;SN49085;26.12.2016;134
Folgefonna Skisenter;SN49085;29.12.2016;136
Folgefonna Skisenter;SN49085;30.12.2016;135
Folgefonna Skisenter;SN49085;31.12.2016;139
Folgefonna Skisenter;SN49085;01.01.2017;161
Folgefonna Skisenter;SN49085;02.01.2017;159
Folgefonna Skisenter;SN49085;03.01.2017;165
Folgefonna Skisenter;SN49085;04.01.2017;152
Folgefonna Skisenter;SN49085;05.01.2017;147
Folgefonna Skisenter;SN49085;06.01.2017;145
Folgefonna Skisenter;SN49085;07.01.2017;162
Folgefonna Skisenter;SN49085;08.01.2017;161
Folgefonna Skisenter;SN49085;09.01.2017;158
Folgefonna Skisenter;SN49085;10.01.2017;162
Folgefonna Skisenter;SN49085;11.01.2017;164
Folgefonna Skisenter;SN49085;12.01.2017;175
Folgefonna Skisenter;SN49085;13.01.2017;199
Folgefonna Skisenter;SN49085;14.01.2017;200
Folgefonna Skisenter;SN49085;15.01.2017;197
Folgefonna Skisenter;SN49085;16.01.2017;195
Folgefonna Skisenter;SN49085;17.01.2017;193
Folgefonna Skisenter;SN49085;18.01.2017;189
Folgefonna Skisenter;SN49085;19.01.2017;190
Folgefonna Skisenter;SN49085;20.01.2017;184
Folgefonna Skisenter;SN49085;21.01.2017;185
Folgefonna Skisenter;SN49085;22.01.2017;184
Folgefonna Skisenter;SN49085;23.01.2017;186
Folgefonna Skisenter;SN49085;24.01.2017;190
Folgefonna Skisenter;SN49085;25.01.2017;188
Folgefonna Skisenter;SN49085;26.01.2017;185
Folgefonna Skisenter;SN49085;27.01.2017;142
Folgefonna Skisenter;SN49085;28.01.2017;142
Folgefonna Skisenter;SN49085;29.01.2017;142
Folgefonna Skisenter;SN49085;30.01.2017;147
Folgefonna Skisenter;SN49085;31.01.2017;145
Folgefonna Skisenter;SN49085;01.02.2017;135
